paper_figure,paper_workload,repo_usecase,rdt_kind,transport,commit,slurm_job_id,fixed_node_set,registry_node,replica_nodes,replicas,operations,write_percentage,failure_scenario,failed_node,failure_injection,surviving_replicas,response_time_avg_us,throughput_min_ops_per_us,throughput_min_ops_per_s,response_node1_us,response_node2_us,response_node3_us,response_node4_us,response_node5_us,response_node6_us,response_node7_us,response_node8_us,throughput_node1_ops_per_us,throughput_node2_ops_per_us,throughput_node3_ops_per_us,throughput_node4_ops_per_us,throughput_node5_ops_per_us,throughput_node6_ops_per_us,throughput_node7_ops_per_us,throughput_node8_ops_per_us,issued_operations_total,workload_digest,state_digest,measurement_runs,status
9,Counter,counter,CRDT,InfiniBand,293fd3d581527e0a95adf7ae535ffd82284f654d,2024524,ac029;ac046;ac057;ac067;ac088;ac090;ac093;ac105;ac108,ac029,ac046;ac057;ac067,3,4000000,0,none,0,,3,0.069429000,40.180400000,40180400.000,0.064596000,0.074634000,0.069057000,,,,,,46.431200000,40.180400000,43.430600000,,,,,,4000000,722bc0fc54747edb094bdf9f8904b13ed03d4a6ba26b6e57f92f4d5729062ae3,16294208416658607535,combined,valid
9,Counter,counter,CRDT,InfiniBand,293fd3d581527e0a95adf7ae535ffd82284f654d,2024524,ac029;ac046;ac057;ac067;ac088;ac090;ac093;ac105;ac108,ac029,ac046;ac057;ac067,3,4000000,15,none,0,,3,0.191516667,14.233600000,14233600.000,0.194923000,0.169167000,0.210460000,,,,,,14.233600000,14.234200000,14.253100000,,,,,,4000000,e06e2471ea2d7e6c8a4190c1aef48eb080447b05ff6b69f715b150e21946af64,2366934273933659296,combined,valid
9,Counter,counter,CRDT,InfiniBand,293fd3d581527e0a95adf7ae535ffd82284f654d,2024524,ac029;ac046;ac057;ac067;ac088;ac090;ac093;ac105;ac108,ac029,ac046;ac057;ac067,3,4000000,20,none,0,,3,0.229113667,11.982300000,11982300.000,0.239199000,0.198201000,0.249941000,,,,,,11.990300000,11.982300000,12.001800000,,,,,,4000000,b4681d1d495a054e6b11288627c8743768d7495efe3270f93f75229815e20c30,5808612434071250250,combined,valid
9,Counter,counter,CRDT,InfiniBand,293fd3d581527e0a95adf7ae535ffd82284f654d,2024524,ac029;ac046;ac057;ac067;ac088;ac090;ac093;ac105;ac108,ac029,ac046;ac057;ac067,3,4000000,25,none,0,,3,0.274228000,9.799090000,9799090.000,0.292066000,0.224804000,0.305814000,,,,,,9.800580000,9.799090000,9.809040000,,,,,,4000000,f3eb7906d895bc81f2f9d8e3f74ab928c0c39989d2ba77847f99782a5fa7aca3,1692353366116290214,combined,valid
9,Counter,counter,CRDT,InfiniBand,293fd3d581527e0a95adf7ae535ffd82284f654d,2024524,ac029;ac046;ac057;ac067;ac088;ac090;ac093;ac105;ac108,ac029,ac046;ac057;ac067;ac088,4,4000000,0,none,0,,4,0.069957250,53.602100000,53602100.000,0.065100000,0.074587000,0.072550000,0.067592000,,,,,61.418500000,53.602100000,55.114600000,59.159300000,,,,,4000000,fff091b920201f9e5bc1c52548ae82e535ed0a621a88e366756018d192c5d918,16294208416658607535,combined,valid
9,Counter,counter,CRDT,InfiniBand,293fd3d581527e0a95adf7ae535ffd82284f654d,2024524,ac029;ac046;ac057;ac067;ac088;ac090;ac093;ac105;ac108,ac029,ac046;ac057;ac067;ac088,4,4000000,15,none,0,,4,0.220352500,15.937700000,15937700.000,0.246729000,0.200846000,0.250476000,0.183359000,,,,,15.937700000,15.943200000,15.967900000,15.943300000,,,,,4000000,0d93fa2b594a9d2774ef595419f0f80e9367d2a8c5cfe7fed083d1dbea34a7b5,2366934273933659296,combined,valid
9,Counter,counter,CRDT,InfiniBand,293fd3d581527e0a95adf7ae535ffd82284f654d,2024524,ac029;ac046;ac057;ac067;ac088;ac090;ac093;ac105;ac108,ac029,ac046;ac057;ac067;ac088,4,4000000,20,none,0,,4,0.270577250,13.053600000,13053600.000,0.306321000,0.247364000,0.304536000,0.224088000,,,,,13.057100000,13.053600000,13.072000000,13.060100000,,,,,4000000,12e3d4705912de1489ce2ea36a832040a0699f3a10294fc185ab9139776fdbaf,5808612434071250250,combined,valid
9,Counter,counter,CRDT,InfiniBand,293fd3d581527e0a95adf7ae535ffd82284f654d,2024524,ac029;ac046;ac057;ac067;ac088;ac090;ac093;ac105;ac108,ac029,ac046;ac057;ac067;ac088,4,4000000,25,none,0,,4,0.321901750,11.117100000,11117100.000,0.359757000,0.307967000,0.359044000,0.260839000,,,,,11.117900000,11.119500000,11.117100000,11.132400000,,,,,4000000,00ecb9136b487f0166c56b3504628ef712ef13634a1553175b4ee267b0344a90,1692353366116290214,combined,valid
9,Counter,counter,CRDT,InfiniBand,293fd3d581527e0a95adf7ae535ffd82284f654d,2024524,ac029;ac046;ac057;ac067;ac088;ac090;ac093;ac105;ac108,ac029,ac046;ac057;ac067;ac088;ac090,5,4000000,0,none,0,,5,0.069331240,66.583400000,66583400.000,0.065223700,0.073323700,0.071228700,0.075066300,0.061813800,,,,76.615100000,68.160500000,70.163100000,66.583400000,80.845600000,,,,4000000,7f7f0feb1262ea4367d38992ce2d4a6c253da786fc325f50722a0be9867b7d3f,16294208416658607535,combined,valid
9,Counter,counter,CRDT,InfiniBand,293fd3d581527e0a95adf7ae535ffd82284f654d,2024524,ac029;ac046;ac057;ac067;ac088;ac090;ac093;ac105;ac108,ac029,ac046;ac057;ac067;ac088;ac090,5,4000000,15,none,0,,5,0.269205200,16.083000000,16083000.000,0.292705000,0.234029000,0.310306000,0.218679000,0.290307000,,,,16.083600000,16.083000000,16.111500000,16.089200000,16.087500000,,,,4000000,5cc821d530856352ccaf5122d456cf3afc3a19e17c8e90f2f67228b0e1faed92,2366934273933659296,combined,valid
9,Counter,counter,CRDT,InfiniBand,293fd3d581527e0a95adf7ae535ffd82284f654d,2024524,ac029;ac046;ac057;ac067;ac088;ac090;ac093;ac105;ac108,ac029,ac046;ac057;ac067;ac088;ac090,5,4000000,20,none,0,,5,0.339584000,12.725400000,12725400.000,0.373130000,0.301966000,0.392755000,0.265864000,0.364205000,,,,12.728300000,12.729000000,12.729600000,12.753000000,12.725400000,,,,4000000,fe33c1532b0e9a05b34c0ed0214ffbab595b2d9aa3112fd1774e3ddf5d7b48e1,5808612434071250250,combined,valid
