paper_figure,paper_workload,repo_usecase,rdt_kind,transport,commit,replicas,operations,write_percentage,response_time_avg_us,throughput_min_ops_per_us,response_node1_us,response_node2_us,response_node3_us,response_node4_us,throughput_node1_ops_per_us,throughput_node2_ops_per_us,throughput_node3_ops_per_us,throughput_node4_ops_per_us,issued_operations_total,state_digest,measurement_runs,status
9,Counter,counter,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,0,0.101918833,26.431800000,0.113485000,0.097137000,0.095134500,,26.431800000,30.879200000,31.529300000,,4000000,16294208416658607535,combined,valid
9,Counter,counter,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,15,0.205807333,13.745100000,0.187849000,0.218104000,0.211469000,,13.745100000,13.753600000,13.750000000,,4000000,2366934273933659296,combined,valid
9,Counter,counter,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,20,0.226580667,12.021600000,0.217159000,0.249293000,0.213290000,,12.021600000,12.032900000,12.030000000,,4000000,5808612434071250250,combined,valid
9,Counter,counter,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,25,0.268174333,10.576400000,0.239851000,0.283379000,0.281293000,,10.576400000,10.585700000,10.583100000,,4000000,1692353366116290214,combined,valid
9,Counter,counter,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,0,0.093952500,27.157500000,0.073943000,0.147273000,0.074078000,0.080516000,54.080400000,27.157500000,53.984000000,49.668500000,4000000,16294208416658607535,combined,valid
9,Counter,counter,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,15,0.224413000,15.412200000,0.221598000,0.259279000,0.213998000,0.202777000,15.412200000,15.425700000,15.446200000,15.424200000,4000000,2366934273933659296,combined,valid
9,Counter,counter,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,20,0.258269000,14.225500000,0.281160000,0.248183000,0.251298000,0.252435000,14.225500000,14.248900000,14.236100000,14.234400000,4000000,5808612434071250250,combined,valid
9,Counter,counter,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,25,0.323873500,11.262700000,0.293828000,0.355014000,0.336617000,0.310035000,11.262700000,11.266400000,11.265600000,11.280500000,4000000,1692353366116290214,combined,valid
9,G-Set,gset,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,0,0.104270200,24.707500000,0.121403000,0.093471800,0.097935800,,24.707500000,32.090400000,30.627900000,,4000000,0,combined,valid
9,G-Set,gset,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,15,0.193116000,14.888400000,0.201475000,0.187524000,0.190349000,,14.888400000,14.889900000,14.911300000,,4000000,15530378015678913902,combined,valid
