paper_figure,paper_workload,repo_usecase,rdt_kind,transport,commit,replicas,operations,write_percentage,response_time_avg_us,throughput_min_ops_per_us,response_node1_us,response_node2_us,response_node3_us,response_node4_us,throughput_node1_ops_per_us,throughput_node2_ops_per_us,throughput_node3_ops_per_us,throughput_node4_ops_per_us,issued_operations_total,state_digest,measurement_runs,status
9,Counter,counter,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,0,0.081738200,27.820500000,0.107822000,0.068349800,0.069042800,,27.820500000,43.882700000,43.442400000,,4000000,16294208416658607535,combined,valid
9,Counter,counter,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,15,0.219011333,13.051800000,0.229835000,0.221316000,0.205883000,,13.051800000,13.056900000,13.066200000,,4000000,2366934273933659296,combined,valid
9,Counter,counter,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,20,0.255048000,11.014900000,0.272338000,0.249006000,0.243800000,,11.014900000,11.025400000,11.018300000,,4000000,5808612434071250250,combined,valid
9,Counter,counter,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,25,0.292815667,9.690320000,0.309565000,0.288978000,0.279904000,,9.690320000,9.696570000,9.693210000,,4000000,1692353366116290214,combined,valid
9,Counter,counter,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,0,0.090214500,27.980100000,0.067818000,0.142941000,0.068408000,0.081691000,58.968300000,27.980100000,58.460700000,48.951200000,4000000,16294208416658607535,combined,valid
9,Counter,counter,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,15,0.267439750,14.040200000,0.284865000,0.254583000,0.278242000,0.252069000,14.040200000,14.057000000,14.051400000,14.051100000,4000000,2366934273933659296,combined,valid
9,Counter,counter,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,20,0.326352500,11.009800000,0.317579000,0.363050000,0.298474000,0.326307000,11.009800000,11.016900000,11.025700000,11.015200000,4000000,5808612434071250250,combined,valid
9,Counter,counter,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,25,0.387603500,9.273990000,0.376323000,0.431023000,0.379456000,0.363612000,9.273990000,9.279520000,9.283240000,9.278700000,4000000,1692353366116290214,combined,valid
9,G-Set,gset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,0,0.091922900,22.544700000,0.071228200,0.133055000,0.071485500,,42.110600000,22.544700000,41.958200000,,4000000,0,combined,valid
9,G-Set,gset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,15,0.223158667,12.110300000,0.210165000,0.247511000,0.211800000,,12.110300000,12.119700000,12.121600000,,4000000,15530378015678913902,combined,valid
9,G-Set,gset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,20,0.260585000,11.260600000,0.266392000,0.260726000,0.254637000,,11.260600000,11.271500000,11.264400000,,4000000,15530378015678913902,combined,valid
9,G-Set,gset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,25,0.301711667,9.711730000,0.308883000,0.300732000,0.295520000,,9.711730000,9.713100000,9.722760000,,4000000,15530378015678913902,combined,valid
9,G-Set,gset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,0,0.085104250,34.165300000,0.117062000,0.071599000,0.071536000,0.080220000,34.165300000,55.852700000,55.903400000,49.853600000,4000000,0,combined,valid
9,G-Set,gset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,15,0.265418500,13.000900000,0.253120000,0.307319000,0.257608000,0.243627000,13.000900000,13.014700000,13.013900000,13.011100000,4000000,15530378015678913902,combined,valid
9,G-Set,gset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,20,0.318853750,10.961200000,0.300269000,0.302745000,0.364737000,0.307664000,10.961200000,10.965300000,10.965900000,10.975500000,4000000,15530378015678913902,combined,valid
9,G-Set,gset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,25,0.392945000,9.649600000,0.414494000,0.365815000,0.400093000,0.391378000,9.649600000,9.659710000,9.652630000,9.652770000,4000000,15530378015678913902,combined,valid
9,PN-Set,pnset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,0,0.084443100,28.003900000,0.107116000,0.071642300,0.074571000,,28.003900000,41.866800000,40.222400000,,4000000,0,combined,valid
9,PN-Set,pnset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,15,0.235064333,10.925100000,0.221343000,0.274479000,0.209371000,,10.925100000,10.929100000,10.935500000,,4000000,4158281071620603130,combined,valid
9,PN-Set,pnset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,20,0.271400000,10.235100000,0.267093000,0.254147000,0.292960000,,10.235100000,10.241500000,10.239500000,,4000000,6381265218763136040,combined,valid
9,PN-Set,pnset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,25,0.309434333,9.622930000,0.311305000,0.305584000,0.311414000,,9.622930000,9.623020000,9.632820000,,4000000,11669586830584168673,combined,valid
9,PN-Set,pnset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,0,0.090789500,27.332100000,0.071619000,0.146330000,0.073471000,0.071738000,55.839400000,27.332100000,54.432900000,55.747600000,4000000,0,combined,valid
9,PN-Set,pnset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,15,0.269951000,13.189700000,0.247831000,0.302889000,0.241023000,0.288061000,13.189700000,13.205100000,13.200400000,13.201500000,4000000,4158281071620603130,combined,valid
