paper_figure,paper_workload,repo_usecase,rdt_kind,transport,commit,replicas,operations,write_percentage,response_time_avg_us,throughput_min_ops_per_us,response_node1_us,response_node2_us,response_node3_us,response_node4_us,throughput_node1_ops_per_us,throughput_node2_ops_per_us,throughput_node3_ops_per_us,throughput_node4_ops_per_us,issued_operations_total,state_digest,measurement_runs,status
9,Counter,counter,CRDT,RoCEv2-SoftRoCE,0952264,3,4000000,0,0.093272833,28.170600000,0.106477000,0.085996500,0.087345000,,28.170600000,34.879700000,34.341200000,,4000000,16294208416658607535,combined,valid
9,Counter,counter,CRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,15,1.713910000,1.616930000,1.855330000,1.614070000,1.672330000,,1.616940000,1.617040000,1.616930000,,4000000,2366934273933659296,combined,valid
9,Counter,counter,CRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,20,2.214273333,1.330410000,2.193490000,2.254750000,2.194580000,,1.330410000,1.330510000,1.330460000,,4000000,5808612434071250250,combined,valid
9,Counter,counter,CRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,25,3.037826667,0.969976000,3.004650000,3.016050000,3.092780000,,0.969989000,0.969976000,0.969990000,,4000000,1692353366116290214,combined,valid
9,Counter,counter,CRDT,RoCEv2-SoftRoCE,0952264,4,4000000,0,0.086455000,28.898400000,0.068565000,0.138400000,0.070247000,0.068608000,58.325200000,28.898400000,56.924900000,58.288600000,4000000,16294208416658607535,combined,valid
9,Counter,counter,CRDT,RoCEv2-SoftRoCE,1617b35,4,4000000,15,2.457010000,1.411260000,2.834110000,1.435770000,2.748330000,2.809830000,1.411260000,1.411420000,1.411380000,1.411300000,4000000,2366934273933659296,combined,valid
9,Counter,counter,CRDT,RoCEv2-SoftRoCE,1617b35,4,4000000,20,3.419655000,1.100470000,3.627540000,2.831520000,3.634710000,3.584850000,1.100470000,1.100490000,1.100470000,1.100560000,4000000,5808612434071250250,combined,valid
9,Counter,counter,CRDT,RoCEv2-SoftRoCE,1617b35,4,4000000,25,3.934512500,0.874366000,4.574590000,2.352260000,4.344870000,4.466330000,0.874366000,0.874420000,0.874417000,0.874374000,4000000,1692353366116290214,combined,valid
9,G-Set,gset,CRDT,RoCEv2-SoftRoCE,0952264,3,4000000,0,0.092456267,26.514500000,0.113133000,0.092469800,0.071766000,,26.514500000,32.438000000,41.795100000,,4000000,0,combined,valid
9,G-Set,gset,CRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,15,1.744200000,1.610170000,1.863050000,1.814270000,1.555280000,,1.610170000,1.610310000,1.610190000,,4000000,15530378015678913902,combined,valid
9,G-Set,gset,CRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,20,2.324913333,1.245360000,2.408860000,2.285620000,2.280260000,,1.245380000,1.245410000,1.245360000,,4000000,15530378015678913902,combined,valid
